kód obce,obec,platné hlasy,voliči v seznamu,vydané obálky,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
533173,Barchovice,132,185,132,37,1,0,0,1,11,2,0,8,1,0,0,0,0,2,14,0,2,0,7,8,0,27,11,0,0
533181,Bečváry,491,822,492,167,0,1,0,2,48,6,0,41,2,3,0,0,0,3,94,1,3,3,41,10,0,34,32,0,0
533190,Bělušice,123,229,123,46,0,0,0,0,18,1,0,9,0,1,0,0,0,0,16,0,0,0,12,0,0,8,12,0,0
533211,Břežany I,147,251,147,51,0,0,0,0,5,11,0,9,0,4,0,0,0,0,34,1,2,2,16,1,0,7,4,0,0
533220,Břežany II,328,567,328,91,0,0,0,1,19,8,0,42,3,7,0,0,2,0,31,2,6,7,20,16,1,48,22,0,2
533238,Býchory,305,455,306,92,0,0,0,0,29,2,0,23,3,1,0,0,0,0,90,0,4,1,24,7,0,12,16,0,1
533246,Cerhenice,800,1327,807,232,0,0,0,0,66,23,0,60,3,7,2,1,0,0,86,1,14,7,72,9,0,69,147,1,0
599476,Církvice,86,133,86,27,0,0,0,0,10,0,0,1,1,0,0,0,0,0,22,0,0,1,15,2,0,0,7,0,0
533262,Červené Pečky,905,1434,911,219,2,0,0,2,66,15,1,80,3,7,0,0,0,0,263,0,11,5,83,37,1,63,46,0,1
533271,Český Brod,3330,5481,3347,868,0,1,3,4,212,123,8,501,22,22,2,3,3,0,274,7,52,41,276,258,2,433,209,3,3
533289,Dobřichov,389,607,391,94,0,1,0,0,51,2,0,36,0,3,0,1,1,1,58,3,8,4,24,15,1,42,44,0,0
533297,Dolní Chvatliny,195,358,196,55,0,1,0,0,36,2,0,10,2,6,1,1,1,0,36,1,3,0,13,3,0,13,11,0,0
513181,Dománovice,66,104,66,20,0,0,0,0,8,2,0,3,0,0,0,0,0,0,20,0,1,0,6,1,0,5,0,0,0
533301,Doubravčice,325,490,325,97,1,0,1,0,14,11,1,54,0,2,0,0,2,1,23,0,2,3,20,25,0,50,17,0,1
564681,Drahobudice,129,202,129,34,0,0,0,0,15,1,0,13,0,0,0,0,0,0,27,0,1,0,19,4,0,9,6,0,0
599450,Grunta,56,71,56,24,0,0,0,2,6,4,0,1,0,0,0,0,1,0,8,0,0,0,5,0,0,3,2,0,0
533327,Horní Kruty,221,400,222,63,1,0,0,0,29,5,0,32,2,2,0,0,0,0,32,4,5,0,17,9,0,11,8,0,1
564800,Hradešín,211,326,213,49,0,0,0,1,5,10,0,33,1,0,0,0,0,0,13,1,9,3,18,25,1,28,13,0,1
534994,Choťovice,103,157,104,33,0,0,0,1,14,2,0,15,0,1,0,0,0,0,18,0,1,1,4,0,0,9,4,0,0
533343,Chotutice,244,396,248,61,0,0,0,0,23,0,0,41,1,0,0,0,0,0,42,0,1,0,21,11,0,23,20,0,0
533351,Chrášťany,313,559,313,103,1,0,1,0,22,11,2,15,1,2,0,0,0,1,31,4,8,1,36,6,0,39,28,0,1
533360,Jestřabí Lhota,255,377,255,62,1,0,0,0,16,4,0,24,4,7,0,0,0,0,80,1,2,1,15,3,0,17,18,0,0
513415,Kbel,112,172,112,33,0,1,0,0,7,4,0,7,0,0,0,0,1,1,34,0,1,1,4,3,0,10,5,0,0
571687,Klášterní Skalice,77,110,78,31,0,0,0,1,4,1,0,4,0,0,0,0,3,1,13,0,0,1,1,4,0,4,9,0,0
533386,Klučov,450,790,451,151,1,0,0,0,22,9,0,38,6,2,0,1,2,0,43,3,10,5,41,33,0,42,41,0,0
533165,Kolín,14765,24468,14830,4001,12,8,6,14,1017,275,20,1275,91,55,6,5,14,23,3997,28,167,124,1189,478,3,1082,851,0,24
533394,Konárovice,422,699,424,138,0,0,0,0,22,3,0,32,1,2,0,0,1,0,98,4,3,4,51,10,1,26,23,0,3
533408,Kořenice,309,508,310,114,1,0,0,1,34,4,0,21,1,1,1,0,2,1,51,0,6,1,30,2,0,25,12,0,1
533424,Kouřim,948,1534,952,290,1,0,0,5,94,18,0,121,8,3,0,0,2,2,130,5,14,7,67,37,0,88,50,0,6
533441,Krakovany,418,649,419,156,1,0,0,1,38,28,0,50,1,3,0,0,0,0,36,2,3,2,28,6,0,43,19,0,1
533459,Krupá,195,324,197,68,0,0,0,1,26,3,0,7,1,3,0,0,0,1,19,0,5,3,15,11,0,22,10,0,0
599484,Krychnov,75,90,75,16,0,0,0,0,6,3,0,6,0,1,0,0,0,0,12,0,0,1,16,2,0,6,6,0,0
533467,Křečhoř,231,385,233,56,0,0,0,0,33,5,1,23,1,2,0,0,0,1,58,0,1,0,9,7,0,23,11,0,0
571717,Kšely,118,186,119,38,0,0,0,0,7,0,0,18,1,1,0,0,0,0,3,0,7,0,15,10,0,9,9,0,0
533475,Libenice,148,255,148,46,0,0,0,1,12,4,0,4,2,2,0,0,0,0,27,0,1,2,17,14,0,10,6,0,0
533483,Libodřice,160,228,161,49,0,0,1,0,23,0,0,14,0,0,0,0,2,1,26,2,0,0,14,2,0,19,6,0,1
513270,Lipec,101,149,101,32,0,0,0,0,16,0,0,2,0,2,0,0,0,0,14,0,0,0,21,2,0,6,6,0,0
533505,Lošany,136,254,136,32,0,0,0,1,17,1,0,14,0,3,0,0,0,0,42,2,1,0,12,1,0,3,7,0,0
533513,Malotice,187,265,188,64,0,0,0,4,19,2,0,7,3,2,0,0,1,2,30,1,2,0,14,7,0,22,7,0,0
564702,Masojedy,45,72,47,9,0,0,0,2,1,1,0,14,0,2,0,0,0,0,3,0,2,0,1,4,0,5,1,0,0
513288,Mrzky,79,126,79,27,0,0,0,2,7,1,1,12,0,0,0,0,0,0,4,2,0,1,6,1,0,8,7,0,0
533521,Nebovidy,385,533,387,103,0,0,0,1,31,5,1,34,1,1,1,0,0,0,90,1,7,4,43,10,0,24,28,0,0
571636,Němčice,159,286,161,56,0,0,0,2,20,7,0,7,0,2,0,0,0,0,28,0,3,1,13,5,0,6,9,0,0
533530,Nová Ves I,614,973,619,177,1,0,0,0,56,13,0,59,6,5,0,0,0,0,135,1,12,8,54,15,2,32,38,0,0
533556,Ohaře,140,242,142,40,0,0,0,1,19,9,0,8,0,1,0,0,0,0,20,1,3,2,9,2,0,17,8,0,0
533572,Ovčáry,400,623,401,120,0,0,0,0,45,8,1,32,1,4,0,0,0,1,91,4,4,1,34,7,0,19,27,0,1
513423,Pašinka,174,288,175,55,0,1,0,0,13,6,0,12,0,2,0,0,0,1,34,0,1,1,14,4,0,26,4,0,0
537641,Pečky,2253,3640,2266,637,1,0,0,4,254,55,2,247,10,18,0,2,4,1,242,7,34,24,234,88,1,217,164,1,6
533581,Plaňany,735,1411,742,223,1,0,0,0,106,8,1,56,0,7,0,0,0,3,103,3,13,8,73,23,0,43,49,2,13
537675,Pňov-Předhradí,279,447,279,88,0,0,0,1,25,17,0,18,0,2,0,0,0,1,49,0,2,2,24,8,0,18,24,0,0
